instructor,time,location,maxcap,srmajor,jrmajor,available,grad,srnon,jrnon,so,fr,ispoi,section,code,sem,title,iscross
"Adediran,Suara A.   Roberts,Andrea",.M..... 01:20PM-02:40PM; ....R.. 06:10PM-10:00PM;,SHAN107;  HALL80;,20,0,0,3,NA,2,2,14,2,FALSE,06,CHEM258,Spring2018,Organic Chemistry Laboratory,FALSE
"Davis,Anthony P.",.M.W... 10:50AM-12:10PM; ....R.. 01:10PM-04:10PM;,HALL56;  HALL069;,12,11,0,6,1,0,0,0,NA,FALSE,01,CHEM317,Spring2018,Analytical Chemistry,FALSE
"Novick,Stewart E.",..T.R.. 10:20AM-11:40AM;,HALL84;,40,8,15,27,5,NA,NA,10,2,FALSE,01,CHEM337,Spring2018,Physical Chemistry I: Quantum Mechanics and Spectroscopy,FALSE
"Langley,David Ray",..T.... 07:10PM-10:00PM;,SHAN201;,20,7,7,-5,NA,NA,NA,6,NA,FALSE,01,CHEM342,Spring2018,Molecules to Medicine,FALSE
"Northrop,Brian Hale",.M.W.F. 09:50AM-10:40AM;,HALL84;,19,7,7,-2,5,0,0,0,0,FALSE,01,CHEM358,Spring2018,Structure and Mechanism,FALSE
"Westmoreland,T. David",.....F. 01:20PM-02:10PM; .M..... 01:20PM-06:10PM;,HALL84;  HALL069;,10,3,7,2,NA,0,0,0,0,FALSE,01,CHEM376,Spring2018,Integrated Chemistry Laboratory II,FALSE
"Westmoreland,T. David",.....F. 01:20PM-02:10PM; ..T.... 01:20PM-06:10PM;,HALL84;  HALL069;,10,3,7,3,NA,0,0,0,0,FALSE,02,CHEM376,Spring2018,Integrated Chemistry Laboratory II,FALSE
"Westmoreland,T. David",.....F. 01:20PM-02:10PM; ...W... 01:20PM-06:10PM;,HALL84;  HALL069;,5,2,2,-2,NA,1,0,0,0,FALSE,03,CHEM376,Spring2018,Integrated Chemistry Laboratory II,FALSE
"Personick,Michelle Louise",.....F. 03:30PM-04:30PM;,HALL84;,60,20,15,19,25,0,0,0,0,FALSE,01,CHEM522,Spring2018,Chemistry Symposia II,FALSE
"Knee,Joseph L.",.M..... 12:10PM-01:00PM;,SCIE58;,19,3,3,12,13,0,0,0,0,FALSE,01,PHYS588,Spring2018,Seminar in Chemical Physics,TRUE
"Northrop,Brian Hale",....R.. 12:00PM-01:00PM;,HALL84;,15,2,0,2,13,0,0,0,0,FALSE,01,CHEM558,Spring2018,Seminar in Organic and Inorganic Chemistry,FALSE
"Davis,Anthony P.",.MTWRF. 11:00AM-12:40PM;,SHAN201;,20,3,3,19,NA,3,3,3,5,FALSE,NA,NANA,NANA,Introductory Chemistry I,FALSE
"Roberts,Andrea",.MTWRF. 11:00AM-12:40PM;,SHAN201;,20,3,3,19,NA,3,3,3,5,FALSE,NA,NANA,NANA,Introductory Chemistry II,FALSE
"Roberts,Andrea",..T.R.. 01:30PM-04:20PM;,HALL80;,20,3,3,19,NA,3,3,3,5,FALSE,NA,NANA,NANA,Introductory Chemistry Laboratory,FALSE
"Mukerji,Ishita",.....F. 02:50PM-03:50PM;,SCIE109;,35,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,CIS121,Fall2017,Wesleyan Mathematics and Science Scholars Colloquium I,FALSE
"Teva,David Leipziger",.M..... 04:30PM-06:30PM;,DWNY200;,22,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,CIS135,Fall2017,Mindfulness,FALSE
"Moller,Daniel",..T.R.. 10:20AM-11:40AM;,SCIE71;,16,0,0,0,NA,2,2,4,8,FALSE,01,CIS170,Fall2017,Introduction to Design and Engineering,TRUE
"Moller,Daniel",.M.W... 01:20PM-02:40PM;,SCIE71;,16,0,0,2,NA,2,2,4,8,FALSE,01,CIS173,Fall2017,"Introduction to Sensors, Measurement, and Data Analysis",FALSE
"Thomas,Ellen",.....F. 01:20PM-02:40PM;,SCIE139;,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,CIS221,Fall2017,Research Frontiers in the Sciences I,FALSE
"Nazzaro,Valerie L.",..T.R.. 10:20AM-11:40AM;,ALLB204;,19,0,0,5,2,6,7,4,0,FALSE,01,QAC307,Fall2017,Experimental Design and Causal Inference,TRUE
"Cooley,John Richard",.M.W... 02:50PM-04:10PM;,SCIE189;,19,0,0,15,8,8,3,0,0,FALSE,01,CIS520,Fall2017,Advanced Academic Writing,TRUE
"Starr,Francis W.",.....F. 01:20PM-02:40PM;,SCIE137;,30,15,10,24,5,0,0,0,NA,FALSE,01,CIS321,Fall2017,Senior Colloquium I: Integrative Sciences,FALSE
"Li,Han",..T.R.. 08:50AM-10:10AM;,SCIE141;,40,0,0,1,NA,1,1,10,28,FALSE,01,MATH222,Fall2017,Multivariable Calculus,FALSE
"Willis,Matthew James",.M.W... 01:20PM-02:40PM;,SCIE137;,40,0,0,4,NA,1,1,10,28,FALSE,02,MATH222,Fall2017,Multivariable Calculus,FALSE
