instructor,time,location,maxcap,srmajor,jrmajor,available,grad,srnon,jrnon,so,fr,ispoi,section,code,sem,title,iscross
"Hingorani,Manju",...W... 04:20PM-05:20PM;,SHAN201;,44,0,0,27,44,0,0,0,0,FALSE,01,MB&B557,Fall2017,Research Seminars in Molecular Biology,FALSE
"Lane,Robert P.",...W.F. 01:20PM-02:40PM;,SCIE109;,40,0,0,25,NA,0,2,8,30,FALSE,01,MB&B209,Spring2018,Research Frontiers in Molecular Biology and Biochemistry,FALSE
"Oliver,Donald B.",.M..... 12:15PM-01:15PM;,SHAN201;,19,3,3,12,13,0,0,0,0,FALSE,01,MB&B586,Spring2018,Seminar in Molecular Biology,TRUE
"MacQueen,Amy",.M.W... 08:20AM-09:40AM;,SCIE139;,30,13,12,22,5,0,0,0,0,FALSE,01,MB&B377,Spring2018,Advanced Genetics,TRUE
"Holmes,Scott G.",....R.. 01:20PM-02:40PM; ..T.... 01:20PM-05:10PM;,HALL283;  HALL283;,20,10,10,4,NA,0,0,0,0,FALSE,01,MB&B394,Spring2018,Advanced Laboratory in Molecular Biology and Genetics,FALSE
"Lane,Robert P.",...W... 04:20PM-05:20PM;,SHAN201;,25,0,0,13,25,0,0,0,0,FALSE,01,MB&B558,Spring2018,Research Seminars in Molecular Biology,FALSE
"Kim,Kyungmi",..T.R.. 08:50AM-10:10AM;,SCIE103;,15,1,2,3,NA,0,0,8,4,FALSE,01,PSYC210,Fall2017,Research Methods in Cognition,TRUE
"Robinson,Mike",.M.W.F. 10:50AM-11:40AM;,JUDD113;,15,2,2,1,NA,0,0,6,5,FALSE,01,PSYC215,Fall2017,Research Methods: Behavioral Methods in Animal Research,TRUE
"Karanian,Jessica M.",...W... 01:20PM-04:10PM;,HALL84;,40,11,14,13,NA,2,3,10,0,FALSE,01,NS&B225,Fall2017,Cognitive Neuroscience,TRUE
"Loui,Psyche",..T.R.. 01:20PM-02:40PM;,ALLB103;,35,11,14,1,NA,0,0,10,0,FALSE,01,NS&B225,Spring2018,Cognitive Neuroscience,TRUE
